year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
1985;Michael S.;Brown;M;1941;;United States;za popísanie regulácie metabolizmu cholesterolu;for their discoveries concerning the regulation of cholesterol metabolism
1985;Joseph L.;Goldstein;M;1940;;United States;za popísanie regulácie metabolizmu cholesterolu;for their discoveries concerning the regulation of cholesterol metabolism
1986;Stanley;Cohen;M;1922;2020;United States;za objav rastových faktorov;for their discoveries of growth factors
1986;Rita;Levi-Montalcini;F;1909;2012;Italy;za objav rastových faktorov;for their discoveries of growth factors
1987;Susumu;Tonegawa;M;1939;;Japan;za objav genetického podkladu veľkej diverzity protilátok;for his discovery of the genetic principle for generation of antibody diversity
1988;Sir James W.;Black;M;1924;2010;United Kingdom;za vývoj dôležitých farmakologických princípov;for their discoveries of important principles for drug treatment
1988;Gertrude B.;Elion;F;1918;1999;United States;za vývoj dôležitých farmakologických princípov;for their discoveries of important principles for drug treatment
1988;George H.;Hitchings;M;1905;1998;United States;za vývoj dôležitých farmakologických princípov;for their discoveries of important principles for drug treatment
1989;J. Michael;Bishop;M;1936;;United States;za objav bunkového pôvodu retrovirálnych onkogénov;for their discovery of the cellular origin of retroviral oncogenes
1989;Harold E.;Varmus;M;1939;;United States;za objav bunkového pôvodu retrovirálnych onkogénov;for their discovery of the cellular origin of retroviral oncogenes
1990;Joseph E.;Murray;M;1919;2012;United States;za práce týkajúce sa transplantácie orgánov a buniek;for their discoveries concerning organ and cell transplantation in the treatment of human disease
1990;E. Donnall;Thomas;M;1920;2012;United States;za práce týkajúce sa transplantácie orgánov a buniek;for their discoveries concerning organ and cell transplantation in the treatment of human disease
1991;Erwin;Neher;M;1944;;Germany;za vývoj metód, ktoré ukázali, že iónové kanály existujú v bunkovej membráne, a ktoré umožnili študovať ich vlastnosti;for their discoveries concerning the function of single ion channels in cells
1991;Bert;Sakmann;M;1942;;Germany;za vývoj metód, ktoré ukázali, že iónové kanály existujú v bunkovej membráne, a ktoré umožnili študovať ich vlastnosti;for their discoveries concerning the function of single ion channels in cells
1992;Edmond H.;Fischer;M;1920;2021;Switzerland,United States;za objav, ako je fosforylácia proteínov využívaná pri regulácii biologických procesov;for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
1992;Edwin G.;Krebs;M;1918;2009;United States;za objav, ako je fosforylácia proteínov využívaná pri regulácii biologických procesov;for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
1993;Sir Richard J.;Roberts;M;1943;;United Kingdom;za objav, že gény eukaryotov nie sú spojité reťazce, ale obsahujú intróny, a že štiepenie messenger RNA s cieľom odstrániť tieto intróny môže prebiehať rozličnými spôsobmi, ktoré vedú k tvorbe rozličných proteínov z rovnakých sekvencií DNA;for their discoveries of split genes
1993;Phillip A.;Sharp;M;1944;;United States;za objav, že gény eukaryotov nie sú spojité reťazce, ale obsahujú intróny, a že štiepenie messenger RNA s cieľom odstrániť tieto intróny môže prebiehať rozličnými spôsobmi, ktoré vedú k tvorbe rozličných proteínov z rovnakých sekvencií DNA;for their discoveries of split genes
1994;Alfred G.;Gilman;M;1941;2015;United States;za objav G proteínov a ich úlohy pri prenose signálu v bunkách;for their discovery of G-proteins and the role of these proteins in signal transduction in cells
1994;Martin;Rodbell;M;1925;1998;United States;za objav G proteínov a ich úlohy pri prenose signálu v bunkách;for their discovery of G-proteins and the role of these proteins in signal transduction in cells
1995;Edward B.;Lewis;M;1918;2004;United States;za objav génov, ktoré sa podieľajú v programe vývoja ovocnej mušky drozofila obyčajná – homeobox génov;for their discoveries concerning the genetic control of early embryonic development
1995;Christiane;Nüsslein-Volhard;F;1942;;Germany;za objav génov, ktoré sa podieľajú v programe vývoja ovocnej mušky drozofila obyčajná – homeobox génov;for their discoveries concerning the genetic control of early embryonic development
1995;Eric F.;Wieschaus;M;1947;;United States;za objav génov, ktoré sa podieľajú v programe vývoja ovocnej mušky drozofila obyčajná – homeobox génov;for their discoveries concerning the genetic control of early embryonic development
1996;Peter C.;Doherty;M;1940;;Australia;za objasnenie mechanizmu, akým sú molekuly hlavného histokompatibilitného komplexu (MHC) využívané leukocytmi na detekciu a zabíjanie buniek infikovaných vírusmi;for their discoveries concerning the specificity of the cell mediated immune defence
