year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
1913;Alfred;Werner;M;1866;1919;Switzerland;za jeho prácu na spájaní atómov v molekulách;for his work on the linkage of atoms in molecules  especially in inorganic chemistry
1914;Theodore William ;Richards;M;1868;1928;United States;za jeho určenie atómovej hmotnosti veľkého počtu prvkov;for his accurate determinations of the atomic weight of a large number of chemical elements
1915;Richard Martin ;Willstätter;M;1872;1942;Germany;za jeho výskum rastlinných pigmentov;for his researches on plant pigments, especially chlorophyll
1918;Fritz ;Haber;M;1868;1934;Germany;za jeho syntézu amoniaku;for the synthesis of ammonia from its elements
1920;Walther Hermann ;Nernst;M;1864;1941;Germany;za jeho prácu v termochémii;for his work in thermochemistry
1921;Frederick ;Soddy;M;1877;1956;United Kingdom;za jeho prácu na chémii rádioaktívnych látok a výskum izotopov;for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes
1922;Francis William ;Aston;M;1877;1945;United Kingdom;za jeho objav izotopov veľkého množstva nerádioaktívnych prvkov a za jeho celočíselné pravidlo;for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule
1923;Fritz ;Pregl;M;1869;1930;Austria,Kingdom of Yugoslavia;za jeho objav metódy mikroanalýzy organických látok;for his invention of the method of micro-analysis of organic substances
1925;Richard Adolf ;Zsigmondy;M;1865;1929;Germany,Hungary;za jeho dôkaz heterogénnej podstaty koloidných roztokov a použité metódy;for his demonstration of the heterogeneous nature of colloid solutions and for the methods he used
1926;Theodor ;Svedberg;M;1884;1971;Sweden;za jeho prácu na disperzných systémoch;for his work on disperse systems
1927;Heinrich Otto ;Wieland;M;1877;1957;Germany;za jeho objav bilových kyselín a príbuzných látok;for his investigations of the constitution of the bile acids and related substances
1928;Adolf Otto Reinhold ;Windaus;M;1876;1959;Germany;za jeho výskum sterolov a ich spojenie s vitamínmi;for his research into the constitution of the sterols and their connection with the vitamins
1929;Arthur ;Harden;M;1865;1940;United Kingdom;za ich objav fermentácie cukrov a fermentívnych enzýmov;for their investigations on the fermentation of sugar and fermentative enzymes
1929;Hans Karl August Simon ;von Euler-Chelpin;M;1873;1964;Sweden,Germany;za ich objav fermentácie cukrov a fermentívnych enzýmov;for their investigations on the fermentation of sugar and fermentative enzymes
1930;Hans;Fischer;M;1881;1945;Germany;za jeho výskum hemínu a chlorofylu;for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin
1931;Carl;Bosch;M;1874;1940;Germany;za ich príspevky k chemickým vysokotlakovým metódam;for their contributions to the invention and development of chemical high pressure methods
1931;Friedrich Karl Rudolph ;Bergius;M;1884;1949;Germany;za ich príspevky k chemickým vysokotlakovým metódam;for their contributions to the invention and development of chemical high pressure methods
1932;Irving ;Langmuir;M;1881;1957;United States;za jeho prácu v hraničnej chémii;for his discoveries and investigations in surface chemistry
1934;Harold Clayton ;Urey;M;1893;1981;United States;za jeho objav ťažkej vody;for his discovery of heavy hydrogen
1935;Frédéric ;Joliot-Curie;M;1900;1958;France;za ich syntézu nových rádioaktívnych prvkov;for their synthesis of new radioactive elements
1935;Irène ;Joliot-Curie;F;1897;1956;France;za ich syntézu nových rádioaktívnych prvkov;for their synthesis of new radioactive elements
1936;Petrus Josephus Wilhelmus ;Debye;M;1884;1966;Netherlands;za jeho prácu na molekulárnej štruktúre výskumom dipólového momentu a difrakcie röntgenových lúčov a elektrónov v plynoch;for his work on molecular structure through his investigations on dipole moments and the diffraction of X-rays and electrons in gases
1937;Sir Walter Norman ;Haworth;M;1883;1950;United Kingdom;za jeho prácu na uhľovodíkoch a vitamíne C;for his investigations on carbohydrates and vitamin C
1937;Paul;Karrer;M;1889;1971;Switzerland;za jeho prácu na karotenoidoch, flavínoch a vitamínoch A a B2;for his investigations on carotenoids, flavins and vitamins A and B2
1938;Richard;Kuhn;M;1900;1967;Germany;za jeho prácu na karotenoidoch a vitamínoch;for his work on carotenoids and vitamins
1939;Adolf Friedrich Johann ;Butenandt;M;1903;1995;Germany;za jeho prácu o pohlavných hormónoch;for his work on sex hormones
1939;Leopold ;Ružička;M;1887;1976;Kingdom of Yugoslavia,Switzerland;za jeho prácu na polymethylénoch a vyšších terpénoch;for his work on polymethylenes and higher terpenes
1943;György ;Hevesy;M;1885;1966;Hungary;za jeho prácu na využití izotopov ako značkovačov pre štúdium chemických procesov;for his work on the use of isotopes as tracers in the study of chemical processes
1944;Otto ;Hahn;M;1879;1968;Germany;za jeho objav štiepenia ťažkých atómových jadier;for his discovery of the fission of heavy nuclei
