year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
1972;Christian Boehmer ;Anfinsen;M;1916;1995;United States;za jeho prácu na ribonukleáze;for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation
1972;Stanford ;Moore;M;1913;1982;United States;za jeho príspevok k pochopeniu spojenia medzi chemickou štruktúrou a katalytickou aktivitou ribonukleovej molekuly;for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
1972;William Howard ;Stein;M;1911;1980;United States;za jeho príspevok k pochopeniu spojenia medzi chemickou štruktúrou a katalytickou aktivitou ribonukleovej molekuly;for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
1973;Ernst Otto ;Fischer;M;1918;2007;West Germany;za jeho prácu na chémii organokovových zlúčenín;for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds
1973;Geoffrey ;Wilkinson;M;1921;1996;United Kingdom;za jeho prácu na chémii organokovových zlúčenín;for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds
1974;Paul John ;Flory;M;1910;1985;United States;za jeho základnú prácu, tak teoretickú ako aj experimentálnu, v oblasti fyzikálnej chémie makromolekúl;for his fundamental work, both theoretical and experimental, in the physical chemistry of macromolecules
1975;John Warcup ;Cornforth;M;1917;2013;Australia,United Kingdom;za jeho prácu na stereochémii enzýmovo-katalyzovaných reakcií;for his work on the stereochemistry of enzyme-catalyzed reactions
1975;Vladimir ;Prelog;M;1906;1998;Yugoslavia,Switzerland;za jeho výskum v stereochémii organických molekúl a reakcií;for his research into the stereochemistry of organic molecules and reactions
1976;William N.;Lipscomb;M;1919;2011;United States;za jeho štúdium štruktúry bórovodíkov;for his studies on the structure of boranes illuminating problems of chemical bonding
1977;Ilya ;Prigogine;M;1917;2003;Belgium;za jeho príspevky k nerovnovážnej termodynamike;for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures
1978;Peter Dennis ;Mitchell;M;1920;1992;United Kingdom;za jeho formuláciu chemiosmotickej teórie;for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory
1979;Herbert Charles ;Brown;M;1912;2004;United States;za ich spoločný rozvoj použitia zlúčenín obsahujúcich bór a fosfor, samostatne, za činidlá v organickej syntéze;for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis
1979;Georg;Wittig;M;1897;1987;West Germany;za ich spoločný rozvoj použitia zlúčenín obsahujúcich bór a fosfor, samostatne, za činidlá v organickej syntéze;for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis
1980;Paul;Berg;M;1926;2023;United States;za jeho základné štúdium biochémie nukleových kyselín, a zvlášť rekombinátu-DNA;for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA
1980;Walter;Gilbert;M;1932;;United States;za ich príspevky týkajúce sa určenia bázových postupností v nukleových kyselinách;for their contributions concerning the determination of base sequences in nucleic acids
1980;Frederick;Sanger;M;1918;2013;United Kingdom;za ich príspevky týkajúce sa určenia bázových postupností v nukleových kyselinách;for their contributions concerning the determination of base sequences in nucleic acids
